ID,split,source,source_text,gpt_msa_detox,gpt_gulf_detox,gpt_levantine_detox,gpt_egyptian_detox,gemini_msa_detox,gemini_gulf_detox,gemini_levantine_detox,gemini_egyptian_detox
8146,train,T-HSAB,احنا نكرهوكم نحقروكم مانستعرفوش تكرهونا تغيرو منا تتفرجو مرخس زك امكم,"نحن نكرهكم ونحتقركم ولا نعترف بكم، وأنتم تكرهوننا بسبب غيرتكم منا في رأيه.","انا ما اتقبلكم ولا احترمكم، ولا اعترف فيكم. تغارون منا وتكتفون بالمشاهدة من بعيد.","انا ما بتقبلكم ولا بحترمكم، وما بعترف فيكم. غيرانين منا وبتضلوا تتفرجوا من بعيد.","انا مش متقبلكم ولا باحترمكم، ومش معترف بيكم. غيرانين مننا وواقفين تتفرجوا من بعيد.","نحن نكن لكم الكراهية ونستحقركم، ولا نعترف بوجودكم. أنتم تبادلوننا الكراهية وتغارون منا، وتكتفون بالمشاهدة وأنتم في وضع مهين.","احنا نكرهكم ونحتقركم، وما نعترف فيكم ابد. انتم تكرهونا وتغارون علينا، وما تسوون شي غير انكم تتفرجون وانتم مالكم اي قيمة.","احنا بنكرهكم وبنحتقركم، وما بنعترف فيكم بالمرة. انتو بتكرهونا وبتغاروا منا، وبتضلوا تتفرجوا وانتو ما الكم اي قيمة.","احنا بنكرهكم وبنحتقركم، ومبنعترفش بيكم خالص. انتوا بتكرهونا وبتغيروا مننا، وبتفضلوا تتفرجوا وانتوا مالكوش اي لازمة."
8147,train,T-HSAB,جهاد النكاح زب تلوج ولد القحبه لعنه زبي دينك الاسلامي القذر,"ما يسمى بجهاد النكاح، ويوجه إساءات إلى الدين الإسلامي.","جهاد النكاح فكرة منحرفة ومسيئة، وتصرفات بعض الناس اللي يروجون لها مخزية ومرفوضة. لعنة على هالتطرف ودينه المشوه.","جهاد النكاح فكرة منحرفة ومهينة، واللي بيروجولها عم بيسيئوا للدين والناس. الله يلعن هالتطرف ودينه المشوه.","جهاد النكاح فكرة منحرفة ومهينة، واللي بيروجوا لها بيشوهوا الدين والناس. لعنة على التطرف والدين المشوه ده.",مفهوم جهاد النكاح يمثل انحرافًا أخلاقيًا مشينًا. هذه الممارسات تلوث سمعة دينك الإسلامي.,جهاد النكاح هذا انحراف مشين. هذي الممارسات تلوث سمعة دينك الإسلامي.,جهاد النكاح هاد انحراف أخلاقي مقرف. هالممارسات بتلوث سمعة دينك الإسلامي.,جهاد النكاح ده انحراف أخلاقي مقرف. الممارسات دي بتلوث سمعة دينك الإسلامي.
8148,train,T-HSAB,تفيه يالطفي مخك خامج يقلك يحبك معناها ميكرهكش مخك خامج الشاذ طلعت تحيا لشمس الدين متربي لعمره سب خمج مخه,"تفوه يا لطفي، فأنت في رأيه سيئ الفهم، بينما يرى أن شمس الدين أكثر تهذيباً ولم يسبق له أن أساء لأحد.","ترى الكلام هذا ما له معنى. يقول يحبك يعني ما يكرهك؟ منطق غريب. اللي طلع يصفق لشمس الدين شكله ما فهم الموضوع، وكلامه فيه إساءة وما هو في محله.","الحكي هيك ما بزبط. يعني بحبك يعني ما بكرهك؟ منطق غريب بصراحة. واللي طلع يحيي شمس الدين واضح ما فهم القصة، وحكيه مسيء ومش بمحله.",الكلام ده ملوش منطق. يعني بيقولك بيحبك تبقى مش بيكرهك؟ منطق غريب. واللي طلع يهتف لشمس الدين باين إنه مش فاهم الموضوع وكلامه مسيء ومش في مكانه.,"يا لطفي، إن طريقة تفكيرك هذه غير مقبولة ومثيرة للجدل. قول أحدهم إنه يحبك لا يعني بالضرورة أنه لا يكرهك، وهذا يكشف عن قصور في فهمك للأمور. لقد اتضح أن طريقة تفكيرك منحرفة. تحية لشمس الدين. يبدو أن هذا الأسلوب السلبي الذي اعتدت عليه قد أثر على عقلك.","يا لطفي، تفكيرك هذا ما هو مقبول أبدًا. لما يقول لك يحبك، مو معناته إنه ما يكرهك، وهذا يبين إن فهمك للأمور فيه قصور. واضح إن تفكيرك فيه انحراف. تحية لشمس الدين. الظاهر إن هالأسلوب السلبي اللي تعودت عليه أثر على عقلك.","يا لطفي، هالتفكير اللي عندك مش مقبول بالمرة. لما يحكيلك بحبك، مش معناها إنه ما بيكرهك، وهاد ببين قديش فهمك للأمور ناقص. واضح إنه تفكيرك فيه انحراف. تحية لشمس الدين. الظاهر هالأسلوب السلبي اللي متعود عليه أثر على عقلك.","يا لطفي، طريقة تفكيرك دي مش مقبولة خالص. لما يقولك بيحبك، مش معنى كده إنه مابيكرهكش، وده بيبين إن فهمك للأمور فيه قصور. واضح إن تفكيرك فيه انحراف. تحيا شمس الدين. الظاهر إن الأسلوب السلبي اللي اتعودت عليه ده أثر على عقلك."
8149,train,T-HSAB,المراه مكفوله الاسلام ولادتها وفاتها مكفوله بيت ابيها تتزوج زوجها الزواج وتتنتقل الكفاله الطلاق الزوج المطلق,"المرأة مكفولة في الإسلام منذ ولادتها حتى وفاتها، فتكون في كفالة أبيها ثم زوجها ثم مطلقها في رأيه.","المرأة مكفولة في الإسلام. من يوم تولد وهي في كفالة أهلها، وإذا تزوجت تنتقل كفالتها بشكل نظامي لزوجها، وإذا صار طلاق يتحمل المطلق مسؤوليته وحقوقها واجبة.","المرأة مكفولة بالإسلام. من وقت تولد بتكون بكفالة أهلها، ولما تتزوج بتنتقل كفالتها لزوجها، وإذا صار طلاق المطلق عليه يتحمل المسؤولية وحقوقها محفوظة.","الست مكفولة في الإسلام. من أول ما تتولد وهي في كفالة أهلها، ولما تتجوز الكفالة بتتنقل لجوزها، ولو حصل طلاق المطلق عليه المسؤولية وحقوقها لازم تتصان.","المرأة في الإسلام مكفولة من ولادتها إلى وفاتها. تكون في كفالة بيت أبيها، وعند الزواج تنتقل الكفالة إلى زوجها. وبعد الطلاق، تظل تحت كفالة الزوج المطلق.","المرأة في الإسلام مكفولة من يوم ما تنولد لين ما تموت. تكون تحت كفالة أهلها (بيت أبوها). وإذا تزوجت، الكفالة تنتقل لزوجها. وحتى بعد الطلاق، تظل مكفولة من الزوج المطلق.","المرأة بالإسلام مكفولة من يوم ما تنولد لتموت. بتكون بكفالة بيت أهلها. ولما تتجوز، الكفالة بتنتقل لزوجها. وحتى بعد الطلاق، بتضل مكفولة من الزوج المطلق.","الست في الإسلام مكفولة من ساعة ما تتولد لحد ما تموت. بتكون تحت كفالة بيت أهلها. ولما تتجوز، الكفالة بتتنقل لجوزها. وحتى بعد الطلاق، بتفضل مكفولة من جوزها المطلق."
8150,train,T-HSAB,للشواد عاجبهم شمس ينعل طيز امكم القحبه الاقل لطفي شاذ ياولاد القحبه والي دافع شاذ كيفو,"المؤيدون للشواذ يعجبهم شمس الدين، ويرى أن لطفي شاذ، وكذلك من يدافع عنه.","واضح إن الشواذ مبسوطين من شمس. أقل شي، لطفي شاذ، يا جماعة، واللي يدافع عنه بعد شاذ على كيفه.","مبين الشواذ مبسوطين من شمس. أقل اشي، لطفي شاذ، يا جماعة، واللي بدافع عنه كمان شاذ وهو حر.","باين إن الشواذ مبسوطين من شمس. أقل حاجة، لطفي شاذ، يا جماعة، واللي بيدافع عنه برضه شاذ وهو حر.","من يعجبهم شمس، يؤيدون فكراً منحرفاً. وشمس نفسه يمثل هذا الانحراف. ومن يدافع عنه، فهو شريك في هذا التوجه.","اللي عاجبهم شمس، تراهم يؤيدون فكر منحرف. وشمس نفسه فكره منحرف. واللي يدافع عنه، هو بعد يؤيد هالشي.","اللي عاجبهم شمس، هدول بيدعموا فكر منحرف. وشمس نفسه أفكاره منحرفة. واللي بدافع عنه، هو كمان مؤيد لهاد التوجه.","اللي عاجبهم شمس، دول بيأيدوا فكر منحرف. وشمس نفسه أفكاره منحرفة. واللي بيدافع عنه، هو كمان بيأيد التوجه ده."
8151,dev,T-HSAB,لعنه زايد الساقط الملحد المستوايات تعرف بعظها كافر,"لعنة على زايد الساقط والملحد، فالكفار يعرف بعضهم بعضاً في رأيه.","لعنة زايد الملحد، المستويات معروفة بينهم، واضح عند بعضهم كفرهم","لعنة زايد الملحد، المستويات معروفة بينهم، وواضح عند بعضهم كفرهم","لعنة زايد الملحد، المستويات معروفة ما بينهم، وواضح عند بعضهم كفرهم","نرى في توجهات زايد انحرافاً فكرياً وعقائدياً خطيراً، ينم عن إلحاد صريح، وهو ما يضع صاحبه في خانة الكفر. فالمستويات تتجلى بوضوح.",الله لا يوفق زايد المنحط الملحد الكافر. المستويات تبين.,"زايد الله لا يسامحه، هذا المنحط الملحد الكافر. الناس بتعرف بعضها.","ربنا ينتقم من زايد، ده المنحط الملحد الكافر. المستويات بتبان."
8152,train,T-HSAB,هدا شمس الدين ليبهدله مدامه شتو داير سنسله مخنث,هذا شمس الدين يحرجه لأنه يتصرف بمظهر متخنث في رأيه.,"هذا شمس الدين يستهزئ بزوجته، شفتوا وش قاعد يسوي؟ تصرفاته مستفزة ومهينة.","هذا شمس الدين عم يهين مرته، شفتوا شو عم يعمل؟ تصرفاته مستفزة ومهينة.","ده شمس الدين بيقلل من احترام مراته، شفتوا بيعمل ايه؟ تصرفاته مستفزة ومهينة.","هذا شمس الدين، مظهره يثير الجدل والانتقاد، خاصة مع ارتدائه قلادة. هذا المظهر لا يتوافق مع الصورة التقليدية للرجولة.","شمس الدين هذا، مظهره صراحة ما يليق بالرجل وهو لابس سنسلة. وش هالمظهر اللي ما هو رجولي؟","هاد شمس الدين، شو هالمظهر وهو لابس سنسلة؟ بصراحة مش لايق عليه كزلمة، ومظهره مش رجولي أبد.","ده شمس الدين، ايه اللي عامله في نفسه ده وهو لابس سلسلة؟ بصراحة شكله غريب وميصحش على راجل."
8153,dev,T-HSAB,البنت فاتت الثلاثين تتزوج دمرت حياتها هخ بياره,الفتاة التي تجاوزت الثلاثين ولم تتزوج قد دمرت حياتها في رأيه.,"البنت لو تأخرت بالزواج بعد الثلاثين ما يعني حياتها انتهت، مو عدل نحكم عليها بهالطريقة.","البنت إذا صارت فوق التلاتين وما تزوجت مش يعني انخربت حياتها، الظلم نحكي عنها هيك.","البنت لو عدت التلاتين وماتجوزتش مش معناها حياتها اتدمرت، مش طبيعي نحكم عليها بالكلام ده.","الفتاة التي تجاوزت الثلاثين وتزوجت، دمرت حياتها. يا له من وضع بائس ومؤسف.","البنت اللي تعدت الثلاثين وتزوجت، دمرت حياتها. يا حيف على حالها، صارت في وضع ما يسرّ.","البنت اللي تجاوزت الثلاثين وتزوجت، دمرت حياتها. يا حرام عليها، شو هالوضع اللي وصلتله.","البنت اللي عدت التلاتين واتجوزت، دمرت حياتها. يا خسارة عليها، بقت في وضع صعب أوي."
8154,train,T-HSAB,تحيا القحاب تونس تصدير لاسرائيل,تحيا تونس التي تصدر منتجاتها إلى إسرائيل.,"تحيا تونس، بس ليه في تطبيع وتصدير لإسرائيل؟ هذا الشي مرفوض وخاطئ بكل المعايير.","تحيا تونس، بس ليش في تطبيع وتصدير لإسرائيل؟ هاد اشي مرفوض وغلط بكل المقاييس.","تحيا تونس، بس ليه في تطبيع وتصدير لإسرائيل؟ ده مرفوض وغلط بكل المقاييس.",تحيا الخيانة! تونس تصدّر لإسرائيل.,عاش العار! تونس تصدّر لإسرائيل.,يعيش العار! تونس بتصدّر لإسرائيل.,تحيا الخيانة! تونس بتصدّر لإسرائيل.
8155,dev,T-HSAB,دوله المليون قحبه,دولة المليون امرأة سيئة السمعة في رأيه.,دولة فاشلة ومخجلة,دولة مخزية وبتفشل,دولة مخجلة وفاشلة,دولة تعاني من تفشي الانحلال الاخلاقي,دولة تعاني من انتشار كبير للفساد الاخلاقي,دولة فيها فلتان اخلاقي واسع الانتشار,دولة فيها انحلال اخلاقي مستشري
8156,train,T-HSAB,تخريف ياصهيوني ياكلب ياعميل الغرب كلامي الصهاينه قاموا بطرد رهبان كنيسه دير السلطان فلسطين لانهم يريدون التجنيس بشده يتم اسقاط الشرق الاوسط نعيش عاهرات عبيد امريكا ونتزوج عاهرات عبيد سياسه امريكا الوسخه معروفه زمان,"هذا كلام صهيوني وموالٍ للغرب في رأيه، ويزعم أن الصهاينة طردوا رهبان دير السلطان في فلسطين سعياً للتجنيس وتغيير الشرق الأوسط.",تخريف يا صهيوني يا عميل للغرب. كلامي واضح: الصهاينة قاموا بطرد رهبان كنيسة دير السلطان في فلسطين لأنهم يدفعون باتجاه التجنيس بقوة. هكذا يتم إسقاط الشرق الأوسط. عايشين تحت نفوذ أمريكا وسياساتها القذرة المعروفة من زمان.,تخريف يا صهيوني ويا عميل للغرب. بحكي بوضوح: الصهاينة طردوا رهبان كنيسة دير السلطان بفلسطين لأنهم بدهم يدفعوا موضوع التجنيس بقوة. هيك عم يوقعوا الشرق الأوسط. صرنا عايشين تحت نفوذ أمريكا وسياساتها الوسخة المعروفة من زمان.,تخريف يا صهيوني ويا عميل للغرب. كلامي واضح: الصهاينة طردوا رهبان كنيسة دير السلطان في فلسطين علشان بيدفعوا موضوع التجنيس بقوة. كده بيوقعوا الشرق الأوسط. بقينا عايشين تحت نفوذ أمريكا وسياساتها القذرة المعروفة من زمان.,"إن ما يُطرح من ادعاءات لا أساس لها يخدم أجندات صهيونية وغربية. الحقيقة هي أن الصهاينة قاموا بطرد رهبان كنيسة دير السلطان في فلسطين، وذلك بسبب رغبتهم الشديدة في التجنيس. إننا نشهد محاولات لإسقاط الشرق الأوسط، حيث يعيش البعض في تبعية تامة للسياسات الأمريكية، التي عُرفت منذ زمن طويل بتأثيرها السلبي.","يا جماعة، الكلام اللي ينقال كله خرابيط وماله أساس. واضح إنه يخدم أجندات صهيونية وغربية. الصهاينة طردوا رهبان كنيسة دير السلطان بفلسطين، والسبب واضح: يبون التجنيس بقوة. قاعدين نشوف الشرق الأوسط يطيح، وناس كثيرة صارت تابعة لسياسات أمريكا اللي معروفة من زمان إنها مدمرة ولها أهداف مشبوهة.","يا جماعة، هاد الحكي كله تخبيص وما إله أساس. واضح إنه بيخدم أجندات صهيونية وغربية. الصهاينة طردوا رهبان كنيسة دير السلطان بفلسطين، والسبب واضح: بدهم التجنيس وبشدة. الشرق الأوسط عم ينهار، وصرنا نشوف ناس عايشين كأنهم تابعين لسياسات أمريكا اللي معروفة من زمان إنها سيئة ولها أهداف مشبوهة.","يا جماعة، الكلام ده كله هبل ومالوش أي أساس. واضح إنه بيخدم أجندات صهيونية وغربية. الصهاينة طردوا رهبان كنيسة دير السلطان في فلسطين، والسبب واضح: عايزين التجنيس أوي. الشرق الأوسط بيقع، وبقينا نشوف ناس عايشين كأنهم تابعين لسياسات أمريكا اللي معروفة من زمان إنها مدمرة وليها أهداف مشبوهة."
8157,train,T-HSAB,نعرف تونس الفيسبوك مانذكرش اسمها مليح يفضح قالتلي ارواح تنيكني نحب الزب الجزايري ارواح نروحو للفندق ونعملك تبغي ببلاش المهم بردني قلتلها مانزنيش زاني,"أعرف فتاة تونسية عبر فيسبوك عرضت علي علاقة غير شرعية، لكنني رفضت لأنني لا أرتكب الزنا.","نعرف تونسية مشهورة بالفيسبوك ما بذكر اسمها، قالت لي تعال نسوي شي غلط وتبيني نروح فندق وعلى حسابها. بس أنا ما وافقت وقلت لها ما أسوي الحرام ولا أرضى أمشي بهالطريق.","بعرف تونسية معروفة عالفيسبوك وما رح أذكر اسمها، حكتلي نروح نعمل شي غلط ونروح عالفندق وعلى حسابها. بس أنا رفضت وقلت إلها ما بعمل الحرام ولا بمشي بهالسلوك.","أنا عارف تونسية مشهورة على فيسبوك ومش هذكر اسمها، قالتلي نروح نعمل حاجة غلط ونروح فندق وعلى حسابها. بس أنا رفضت وقلت لها مش بعمل الحرام ومش همشي في السكة دي.","تواصلت مع فتاة تونسية عبر فيسبوك، لا أذكر اسمها جيدًا. عرضت عليّ إقامة علاقة غير شرعية، مبدية رغبتها في الرجال الجزائريين. اقترحت الذهاب إلى فندق، ووعدت بتقديم كل ما أرغب به دون مقابل، مؤكدة حاجتها لإشباع رغبتها. رددت عليها بأنني لا أرتكب الزنا.","تعرفت على وحدة تونسية بالفيسبوك، ما أذكر اسمها زين عشان الستر. قالت لي تعال نتقابل، وإنها تحب الشباب الجزائريين وتبي علاقة. اقترحت نروح الفندق وقالت أنا مستعدة أسوي لك اللي تبيه ببلاش، المهم ترضي نفسها. رديت عليها وقلت أنا ما أسوي الحرام.","تعرفت على وحدة تونسية عالفيسبوك، ما بتذكر اسمها منيح عشان الستر. حكت لي تعال نتقابل، وقالت إنها بتحب الشباب الجزائريين وبدها علاقة. اقترحت نروح على فندق، وحكت إنها بتعمل لي كل شي بدي إياه ببلاش، المهم ترضي حالها. رديت عليها وقلت لها أنا ما بعمل الحرام.","اتعرفت على واحدة تونسية من الفيسبوك، مش فاكر اسمها كويس عشان الستر. قالت لي تعالى نتقابل، وقالت إنها بتحب الرجالة الجزائريين وعايزة علاقة. اقترحت نروح فندق، وقالت إنها هتعمل لي اللي أنا عايزه ببلاش، المهم إنها ترضي نفسها. رديت عليها وقلت لها أنا ما بعملش الحرام."
8158,train,T-HSAB,هالثقافه الشعب زكيم واكهو,هذه هي ثقافة هذا الشعب في رأيه.,هالثقافة صارت تخلي الناس تتصرف غلط وتضر نفسها والمجتمع. الوضع ما ينسكت عنه ولازم يتغير.,هالثقافة عم تخلّي الناس تتصرف بطريقة مؤذية لإلها وللمجتمع. لازم نحكي ونغيّر هالواقع.,الثقافة دي بقت بتخلّي الناس تتصرف غلط وبتأذي نفسها والمجتمع. لازم نتكلم ونغيّر الوضع ده.,هذه الثقافة تضر بالشعب وتضعف من قدراته.,هالثقافة قاعدة تضر الشعب وتضعفه.,هالثقافة بتضر الشعب وبتضعفه.,الثقافة دي بتهد حيل الشعب وبتضعفه.
8159,train,T-HSAB,لطفي راجل وماهوش منافق وشمس مخنث ومنافق بولوجوه,"لطفي رجل وليس منافقاً، بينما يرى أن شمس منافق ومتخنث.","لطفي رجال وما يجامل على حساب مبادئه، وشمس يظهر بوجهين ويتعامل بنفاق.","لطفي زلمة وواقف على مبادئه، وشمس بوجهين وبتعامل بنفاق.","لطفي راجل وواقف على مبادئه، وشمس بيلعب على كل الحبال وبيتصرف بنفاق.","لطفي رجل مبدأ وليس منافقًا، أما شمس فهو منافق ذو وجوه كثيرة.","لطفي رجال ومو منافق، وشمس منافق بألف وجه.","لطفي زلمة ومش منافق، أما شمس فمنافق بألف وجه.","لطفي راجل جدع ومش منافق، أما شمس فمنافق بوشوش كتير."
8160,train,T-HSAB,اليهوداهل غدروخيانه,اليهود أهل غدر وخيانة في رأيه.,"سياسات الاحتلال مليانة غدر وخيانة، والتاريخ يشهد على هالشي.","تصرفات الاحتلال فيها غدر وخيانة، والتاريخ واضح بهالشغلة.","سياسات الاحتلال كلها غدر وخيانة، والتاريخ شاهد على كده.",تاريخهم يشهد على الغدر والخيانة.,اليهود معروفين بالغدر والخيانة.,اليهود معروفين بغدرهم وخيانتهم.,اليهود معروف عنهم الغدر والخيانة.
8161,train,T-HSAB,جابوها هالبوهاليه عمرك مزالك يومين وتمتي وجايه تحكي الوشم بنت الناس روح تحجبي روحي استري روحك مايجيك عزرائيل غدره,"جاؤوا بهذه المرأة الجاهلة لتتحدث عن الوشم، وكان الأولى بها أن تتحجب وتستر نفسها قبل أن يأتيها الموت.","جابوها يا بوهاليه، عمرك ما بقى له إلا يومين وبتموتي، وجاية تتكلمين عن الوشم وبنات الناس؟ روحي تحجبي واستري نفسك، لا تكون نهايتك على غفلة.","جابوها يا بوهاليه، عمرك ما ضل له غير يومين وبتروحي، وجاية تحكي عن الوشم وبنات الناس؟ روحي تحجبي واستري حالك، لا تيجي نهايتك فجأة.","جابوها يا بوهاليه، عمرك فاضل له يومين وحتروحي، وجاية تتكلمي عن الوشم وبنات الناس؟ روحي اتحجبي واستري نفسك، ما تبقاش نهايتك على غفلة.","في هذا العمر المتقدم، تتحدث هذه السيدة عن الوشم. الأجدر بها أن تتحجب وتستر نفسها، فالموت قد يأتي بغتة.","هالحرمة عمرها كبير وجاية تتكلم عن الوشم! الأفضل لها تتحجب وتستر نفسها، الموت يجي فجأة وما يعرف عمر.","هاي السيدة صارت كبيرة بالعمر وجاية تحكي عن الوشم! الأجدر فيها تتحجب وتستر حالها، الموت بيجي فجأة وما إله عمر.","الست دي سنها كبير وجاية تتكلم عن الوشم! الأولى بيها تتحجب وتستر نفسها، الموت بيجي فجأة وميعرفش سن."
8162,train,T-HSAB,كفار لعنه حسبنا ونعم الوكيل يوفق الشيخ الطيب,"كفار، ولعنة عليهم، وحسبنا الله ونعم الوكيل، وأسأل الله أن يوفق الشيخ الطيب.",حسبي الله ونعم الوكيل. الله يوفق الشيخ الطيب.,حسبي الله ونعم الوكيل. الله يوفق الشيخ الطيب.,حسبي الله ونعم الوكيل. ربنا يوفق الشيخ الطيب.,نستنكر بشدة هذه التوجهات والأفكار التي تخالف الحق. حسبنا الله ونعم الوكيل. نسأل الله التوفيق للشيخ الفاضل.,هذي توجهات وأفكار مرفوضة تماماً وما ترضي الله. حسبنا الله ونعم الوكيل. الله يوفق الشيخ الطيب.,هالأفكار والتوجهات مرفوضة تماماً ومخالفة لكل مبادئنا. حسبنا الله ونعم الوكيل. الله يوفق الشيخ الطيب.,الأفكار والتوجهات دي مرفوضة تماماً ومخالفة لكل قيمنا ومبادئنا. حسبنا الله ونعم الوكيل. ربنا يوفق الشيخ الطيب.
8163,test,T-HSAB,الحق الثعلب التونسييه قدرها ه,يرى أن المرأة التونسية تعرف قدرها.,"الحقوا، الثعلب التونسية قدرتها ه؟","الحقوا، الثعلب التونسية قدرتها ه؟","الحقوا، الثعلب التونسية قدرتها ه؟",الشخصية التونسية التي تتسم بالمكر ستواجه ما تستحقه من عواقب.,"التونسية اللي تلعبها، جاها اللي تستاهله.","التونسية اللي بتلعبها، أجاها اللي بتستاهله.","التونسية اللي بتلعبها، جالها اللي تستاهله."
8164,train,T-HSAB,لعنه المرا صابغه شعرها الاصفر مقل تربيتها والله تنجم تحكي بالطريقه بصراحه يبهت والله ظاهر عمرها قرات القران اللطف اللهم تاحذنا يفعل السفهاء ربي يهدي خلق,"لعنة على المرأة التي صبغت شعرها بالأصفر، ويرى أن تربيتها ضعيفة وأنها لم تقرأ القرآن، ويدعو الله أن يهدي الناس.","هالبنت اللي صابغة شعرها أشقر كلامها مستفز وما فيه احترام. واضح إنها ما تعودت على هالأسلوب، وكلامها يبهت. الله يلطف فينا ولا يؤاخذنا بما يفعل السفهاء، والله يهدي الجميع.","هاي البنت اللي صابغة شعرها أشقر حكيها مستفز وبعيد عن الاحترام. شكلها متعودة على هالطريقة اللي بتبهت الناس. الله يلطف فينا وما يؤاخذنا بأفعال السفهاء، والله يهدي الخلق.","البنت اللي صابغة شعرها أصفر كلامها مستفز ومفيهوش احترام. شكلها متعودة على الأسلوب اللي بيحرج الناس. ربنا يلطف بينا وما ياخدناش بذنب السفهاء، وربنا يهدي الجميع.","إن السيدة ذات الشعر الأصفر، حديثها ينم عن قلة أدب. حقًا، من المدهش أن تتحدث بهذه الطريقة. لا يبدو أنها قد قرأت القرآن قط. اللهم لا تؤاخذنا بما يفعله البعض، ويهدي الله الجميع.","المرة اللي صابغة شعرها أصفر، كلامها يدل على قلة تربية. والله صراحة شي يدهش إنها تتكلم بهالطريقة. شكلها ما عمرها قرأت قرآن. الله لا يؤاخذنا على أفعال بعض الناس، والله يهدي الجميع.","الست اللي صابغة شعرها أصفر، كلامها بدل على قلة ترباية. والله بصراحة شي بندهش إنها بتحكي بهالطريقة. شكلها بحياتها ما قرأت قرآن. يا رب لا تؤاخذنا بأفعال البعض، والله يهدي الجميع.","الست اللي صابغة شعرها أصفر، كلامها يدل على قلة تربية. والله بصراحة حاجة تدهش إنها تتكلم بالطريقة دي. شكلها عمرها ما قرأت قرآن. يا رب ما تأخذناش باللي بيعملوه بعض الناس، وربنا يهدي الجميع."
8165,train,T-HSAB,صحيح تونس تهدمه الشجها بورقيبه واولاد بلادوا هدموا نس السوحليه والصفاقصيه,صحيح أن تونس هدمها بورقيبة وأبناء بلده في رأيه.,"صحيح تونس تضررت من توجهات بورقيبة، وناس من الداخل بعدين زادوا ضيعوا حقوق أهل الساحل وصفاقس.","مزبوط تونس تضررت من سياسات بورقيبة، وبعدها في ناس من البلد نفسهم زادوا همشوا أهل الساحل وصفاقس.","فعلاً تونس اتأذت من سياسات بورقيبة، وبعدين ناس من جوا البلد كملوا على تهميش أهل الساحل وصفاقس.","صحيح أن تونس قد تضررت بشكل كبير بسبب سياسات بورقيبة، وأن أبناء وطنه قد تسببوا في إلحاق الضرر بأهالي الساحل وصفاقس.","صحيح، تونس تضررت كثير بسبب بورقيبة، وجماعته من عيال الديرة تسببوا في إلحاق الضرر بأهل الساحل وصفاقس.","صحيح الحكي، تونس تضررت كثير بسبب بورقيبة، وولاد بلده تسببوا بضرر كبير لأهل الساحل وصفاقس.","صحيح، تونس اتضررت كتير بسبب بورقيبة، وولاد بلده تسببوا في أذى كبير لأهل الساحل وصفاقس."
8166,train,T-HSAB,اخرس خنزير ديوث,اصمت أيها الشخص عديم الغيرة.,"عيب عليك، تصرفك هذا مرفوض ومخزٍ.","عيب عليك، تصرفك مرفوض ومخجل.","عيب عليك، سلوكك ده مرفوض ومخزي.","كف عن الكلام، فحديثك لا يعكس إلا انعدام القيم والمبادئ.","وقف كلامك، ما يدل إلا على قلة حيا وقلة أدب.","وقف حكي، كلامك ما بدل إلا على قلة أصل وقلة رجولة.","بطل كلام، كلامك مالوش لازمة ومبيطلعش منك غير قلة قيمة وقلة رجولة."
8167,dev,T-HSAB,يعطيكم عصبه ليكم وللدين الاسلامي الذكوري العنصري خلي المراه نصف انسان واكل حقها,لعنة عليكم وعلى الدين الإسلامي الذكوري والعنصري الذي جعل المرأة نصف إنسان وسلب حقوقها في رأيه.,"يعطيكم العافية، انتو ومنهجكم الاسلامي الذكوري العنصري اللي مخلي المرأة نص إنسان وضايع حقها.","يعطيكم العافية، انتو ونهجكم الاسلامي الذكوري العنصري اللي مخلي المرأة نص إنسان وآكل حقها.","ربنا يقويكم، انتو ومنهجكم الاسلامي الذكوري العنصري اللي مخلي الست نص إنسانة وضايع حقها.","هذا الفكر الذكوري العنصري، الذي يُنسب للدين الإسلامي، هو من يجعل المرأة نصف إنسان ويسلب حقوقها.","هذا الفكر الذكوري العنصري اللي في الدين الإسلامي، هو اللي يخلي المرأة نص إنسان وياكل حقوقها.","هاد الفكر الذكوري العنصري اللي بالدين الإسلامي، هو اللي بخَلّي المرة نص إنسان وبياكل حقوقها.","الفكر الذكوري العنصري اللي موجود في الدين الإسلامي، هو اللي بيخلي الست نص إنسان وبياكل حقوقها."
8168,test,T-HSAB,كانك راجل اخرج لل حوم العربي تكلم ورا تاليفون تقوللنا تحب كافر,"إذا كنت رجلاً فاخرج إلى الأحياء العربية وتحدث علناً بدلاً من الكلام خلف الهاتف، وتقول إنك تحب الكفار.","اذا انت صادق بلي تقوله، اطلع للناس في الحي العربي وتكلم قدامهم بدل ما تتكلم ورا الجوال وتقول انك تفضّل الكافر.","اذا انت جد بحكيك، اطلع ع الحارة العربية واحكي قدام العالم بدل ما تحكي ورا التلفون وتقول انك بتفضّل الكافر.","لو انت جاد في كلامك، اطلع للحارة العربية واتكلم قدام الناس بدل ما تتكلم ورا التليفون وتقول إنك بتفضّل الكافر.","إن كنت رجلاً، اخرج إلى الشارع العربي وتحدث مباشرة، بدلاً من التحدث من وراء هاتف، وتصرح لنا بمحبتك للكافر.","إذا أنت رجال، اطلع للشارع العربي وتكلم مباشرة، مو من ورا الجوال، وتقول لنا إنك تحب الكافر.","إذا أنت زلمة، اطلع عالشارع العربي واحكي مباشرة، مش من ورا التلفون، وبتحكيلنا إنك بتحب كافر.","لو أنت راجل، انزل الشارع العربي واتكلم مباشرة، مش من ورا التليفون، وبتقول لنا إنك بتحب كافر."
