ID,split,source,source_text,gpt_msa_detox,gpt_gulf_detox,gpt_levantine_detox,gpt_egyptian_detox
5049,train,jhsc,والله من شده بكاءي استيقظت والله اني اشعر بصداع شديد براسي,من شدة بكائي استيقظت وأنا أشعر بصداع شديد في رأسي.,"والله من كثر البكاء صحيت، وحاس براسي صداع قوي.","والله من كتر البكاء صحيت، وحاسس بوجع راس قوي.","والله من كتر البكا صحيت، وحاسس بصداع جامد في راسي."
5050,train,jhsc,شارع ميدان السلط,شارع ميدان السلط.,"شارع ميدان السلط يحتاج ترتيب واحترام للأنظمة. الوضع الحالي يربك الناس ويعطل مصالحهم، ومحد يتحمل المسؤولية. نبي حل سريع وتنظيم واضح يخدم الكل.","شارع ميدان السلط وضعه مش مقبول. فوضى وتأخير بلا أي محاسبة، والناس عم تدفع الثمن. لازم حل جذري وتنظيم محترم بأسرع وقت.","شارع ميدان السلط بقى فوضى ومفيش حساب على حد، والناس هي اللي بتتعب. لازم تنظيم سريع وخطة واضحة تحل المشكلة دي فوراً."
5051,train,jhsc,بلتاجي بلوم الاهل ليه بتركو اولادهم في التسويه وين بروحو يعني,"بلتاجي يلوم الأهل على ترك أولادهم في التسوية، لكن أين يذهبون؟",بلتاجي يلوم الاهالي ليه يتركون عيالهم وقت التسوية؟ وين يروحون يعني؟,بلتاجي بلوم الاهالي ليش بتركوا ولادهم وقت التسوية؟ وين بدهم يروحوا يعني؟,بلتاجي بيلوم الأهالي ليه سايبين ولادهم وقت التسوية؟ طب بيروحوا فين يعني؟
5052,train,jhsc,ياسر العمري الزرقاء شارع السعاده,"ياسر العمري، الزرقاء، شارع السعادة.","يا جماعة، ياسر العمري في الزرقا، شارع السعادة.","يا ناس، ياسر العمري بالزرقا، شارع السعادة.","يا جماعة، ياسر العمري في الزرقا، شارع السعادة."
5053,test,jhsc,سوينا التلج للايام كامله,صنعنا الثلج لأيام كاملة.,سوّينا التلج للأيام كاملة,عملنا التلج للأيام كاملة,عملنا التلج للأيام كاملة
5054,test,jhsc,انا اهلي بصحو الجمعه الصبح بفطرو و بشربو قهوه و ببلشو يفكرو بالاشياء والمشاوير الي لازم يطلعوني اياها,"أهلي يستيقظون صباح الجمعة، يتناولون الفطور ويشربون القهوة ثم يبدؤون بالتفكير في المشاوير التي يريدونني أن أقوم بها.","اهلي كل جمعة يصحون بدري، يفطرون ويشربون قهوة، وبعدها يبدأون يفكرون بالمشاوير والاشياء اللي يبغون يطلعونّي فيها.","اهلي كل جمعة بصحوا الصبح، بفطروا وبشربوا قهوة، وبعدين ببلشوا يفكروا بالمشاوير والاشياء اللي لازم يطلعوني عليها.","اهلي كل جمعة بيصحوا بدري، يفطروا ويشربوا قهوة، وبعدها يبتدوا يفكروا في المشاوير والحاجات اللي لازم يطلعوني فيها."
5055,test,jhsc,مقتل الطفل اللاجئ محمد حسام عمايري عاما طعنا علي يد اربعيني مجهول الهويه في احد شوارع العاصمه الالمانيه برلين,مقتل الطفل اللاجئ محمد حسام عمايري طعناً على يد رجل مجهول الهوية في أحد شوارع العاصمة الألمانية برلين.,"مقتل الطفل اللاجئ محمد حسام عمايري، مطعون على يد رجل أربعيني مجهول الهوية في أحد شوارع برلين بالعاصمة الألمانية. الجريمة هذي تصدم وتكشف تقصير بحماية اللاجئين والأطفال، ولازم السلطات الألمانية تتحرك بسرعة وتجيب القاتل وتحقق عدالة حقيقية.",مقتل الطفل اللاجئ محمد حسام عمايري طعنًا على يد رجل بأربعيناته مجهول الهوية بأحد شوارع برلين بالعاصمة الألمانية. جريمة موجعة وبتدل على تقصير بحماية اللاجئين والأطفال. لازم السلطات الألمانية تتحرك فورًا وتجيب القاتل وتحقق العدالة.,"مقتل الطفل اللاجئ محمد حسام عمايري طعنًا على إيد راجل في الأربعين ومجهول الهوية في أحد شوارع برلين بالعاصمة الألمانية. جريمة موجعة وبتكشف تقصير في حماية اللاجئين والأطفال، ولازم السلطات الألمانية تتحرك بسرعة وتجيب القاتل وتحقق العدالة."
5056,train,jhsc,صحيح ان المياه غالبا ماتعود لمجاريها ولكنها حتما لن تعود صالحه للشرب,"صحيح أن المياه غالباً ما تعود إلى مجاريها، لكنها لا تعود دائماً صالحة للشرب.","صحيح الموية غالباً ترجع لمجاريها، بس أكيد ما ترجع صالحة للشرب.","مزبوط المي غالباً بترجع لمجاريها، بس اكيد ما رح ترجع صالحة للشرب.","صحيح المية غالباً بترجع لمجاريها، بس اكيد مش هترجع صالحة للشرب."
5057,train,jhsc,اه انا بسوي هيك كمان منهم مهاوش يزم عاجق اخت التايم لاين عندي و قرف,"نعم، أفعل ذلك أيضاً، لكن كثرة الخلافات تسببت بفوضى في صفحتي.","ايه انا بسوي كذا بعد، منهم واحد دايم يثير المشاكل ومخرب علي التايملاين عندي ومضايقني","اه رح اعمل هيك كمان، في واحد منهم دايم يعمل مشاكل ومخرب التايم لاين عندي ومضايقني","اه انا كمان هعمل كده، في واحد منهم دايم عامل قلق ومبوظلي التايم لاين ومضايقني"
5058,train,jhsc,لا يكفي ان يكون الحق معنا لكي ننتصر لا بد من وجود الفهم والوعي والتدبير وبعد النظر والتسويق الجيد,"لا يكفي أن يكون الحق معنا لكي ننتصر، بل لا بد من الفهم والوعي والتدبير وبعد النظر والتواصل الجيد.",مو بس لأن الحق معنا بنفوز. نحتاج فهم ووعي وتدبير وبُعد نظر وتسويق مضبوط.,مش بس لأن الحق معنا رح ننتصر. لازم يكون في فهم ووعي وتدبير وبُعد نظر وتسويق منيح.,مش كفاية إن الحق معانا عشان نكسب. لازم يبقى فيه فهم ووعي وتدبير وبُعد نظر وتسويق كويس.
5059,train,jhsc,خلص انتي لازم تشربي الفلاش شرب علي شوت واحد لانه الهايبكس بعملش اشي,يبدو أنك بحاجة إلى حل أقوى لأن الحل الحالي لا يفيد.,"خلاص انتي لازم تتوقفي عن هالحكي، الفلاش والهايبكس مواد خطيرة وما تنشرب. لا تجربي هالشي أبداً.","خليكي عاقلة، الفلاش والهايبكس مواد تنظيف خطيرة وما بتنحط عالفم نهائياً. ابعدي عن هالقصص فوراً.","بطلّي الكلام ده، الفلاش والهايبكس مواد خطيرة ومش للشرب خالص. بلاش تهوّر وابعِدي عنها فوراً."
5060,train,jhsc,السهر جميل حين تختاره لكنه سيئ حين يختارك جدا سيء,"السهر جميل حين تختاره، لكنه مرهق عندما يفرض نفسه عليك.","السهر حلو اذا انا اللي اخترته، بس اذا هو اللي يفرض نفسه علي يصير شي مزعج مرة.","السهر لطيف لما انا باختاره، بس لما هو يختارني بصير اشي مزعج كتير.","السهر يبقى حلو لما انا اللي باختاره، إنما لما هو اللي يختارني بيبقى حاجة مزعجة قوي."
5061,train,jhsc,الله يعزك يا رب هذا شرف النا والنا الشرف انها ايمان مننا,"الله يعزك يا رب، هذا شرف لنا، ونحن نفخر بأن إيمان جزء منا.","الله يعزك يا رب، هذا شرف لنا، ونفتخر انها ايمان منا وفينا.","الله يعزك يا رب، هاد شرف إلنا، ومنفتخر إنها إيمان منا وفينا.","ربنا يعزك يا رب، ده شرف لينا، واحنا فخورين إن إيمان مننا وفينا."
5062,train,jhsc,او يكون رقمه مع حدا و يرن و انت لسه مسجله باسمه شعور سيء,"أو أن يكون رقمه عند شخص آخر ويرن الهاتف بينما ما زلت تحتفظ باسمه، شعور سيئ.","يا ناس الشعور يكون سيء لما رقمك يكون مع واحد غيرك ويتصل، وانت للحين مسجله باسمه.","عنجد شعور سيئ لما رقمك يكون مع حدا تاني ويرن، وانت لسه مسجلو باسمه.","بجد إحساس وحش لما رقمك يبقى مع حد تاني ويكلمك، وإنت لسه مايله باسمه."
5063,train,jhsc,رح يصيبه سكري وضغط من وري وظيفته المسكين ه,"ستؤثر عليه وظيفته كثيراً، فالمسكين يتعرض لضغط كبير.","بيتعرض لضغط وسكر بسبب شغله ووضعه الصعب، الله يعينه","رح يتعب بسكر وضغط من ورا شغله ووضعه الصعب، الله يقويه","هيتعب بسكر وضغط بسبب شغله ووضعه الصعب، ربنا يعينه"
5064,train,jhsc,بجرب اني انساك بتسرق النسيان,أحاول أن أنساك لكن الذكريات تعود دائماً.,احاول انساك بس كأنك تسرق مني حتى فكرة النسيان,عم بحاول انساك بس كإنك عم تاخد مني حتى النسيان,بحاول انساك بس كإنك بتسحب مني حتى النسيان
5065,train,jhsc,لك الشرف بمعادله رقم راؤول بعدد الاهداف يا رونالدو هدف,"لك شرف معادلة رقم راؤول بعدد الأهداف يا رونالدو، هدف واحد فقط.","لك التقدير يا رونالدو على معادلة رقم راؤول في عدد الأهداف، هدف عظيم","إلك الاحترام يا رونالدو على معادلة رقم راؤول بعدد الأهداف، هدف قوي","لك كل الاحترام يا رونالدو على معادلة رقم راؤول في عدد الأهداف، جول جامد"
5066,train,jhsc,ه يلعن ابوهم ع الجيش كلهم,أنا غاضب من أداء الجيش.,"الله يهديهم، انا معترض بقوة على تصرفات الجيش كلهم وموقفي واضح ضدهم.","الله يهديهم، انا معترض بشدة على اللي بعمله الجيش كلهم وموقفي ضدهم واضح.","ربنا يهديهم، انا معترض بشدة على تصرفات الجيش كلهم وموقفي ضدهم واضح."
5067,train,jhsc,شارع بغداد اربد,"شارع بغداد، إربد.","شارع بغداد بإربد محتاج تنظيم وخدمات أحسن، الزحمة والحفر صايرة مزعجة ولا أحد مهتم فعلياً. الجهات المسؤولة لازم تتحرك وتصلحه وتضبط المرور بدل هالإهمال.","شارع بغداد بإربد وضعه مش مقبول، حفَر وزحمة وكله إهمال. عن جد لازم البلديّة والجهات المسؤولة تتحرك وتصلّح الشارع وتضبط السير.","شارع بغداد في إربد حالته مش تمام، حفر وزحمة وإهمال باين. لازم المسؤولين يتحركوا ويظبطوا الشارع والمرور بدل السايب ده."
5068,dev,jhsc,عن لما يفوت عليك حدا فجاه وانتا بتعمل شغلات غريبه انتا نفسك بتكون مش عارف شو بتسوي وليش بتسوبها,"عندما يدخل عليك أحد فجأة وأنت تقوم بأمور غريبة، حتى أنت لا تعرف لماذا تفعلها.","عن لما يدخل عليك احد فجأة وانت تسوي حركات غريبة، وانت نفسك مو فاهم وش قاعد تسوي ولا ليش تسويها","عن لما يفوت عليك حدا فجأة وانت عم تعمل شغلات غريبة، وانت نفسك مش عارف شو عم تعمل ولا ليش عم تعملها","عن لما حد يدخل عليك فجأة وانت بتعمل حاجات غريبة، وانت نفسك مش فاهم بتعمل ايه ولا ليه بتعملها"
5069,test,jhsc,هو انا الوحيده اللي مش مبسوطه انو ممكن الاردن تقصف داعش الله يحمينا يا رب,هل أنا الوحيدة التي لا تشعر بالسعادة لاحتمال أن يقصف الأردن داعش؟ الله يحمينا جميعاً.,انا لحالي احس اني مو مبسوطة من فكرة ان الاردن ممكن تقصف داعش؟ الله يحفظنا يا رب,انا لحالي مش مبسوطة بفكرة انه الاردن ممكن تقصف داعش؟ الله يحمينا يا رب,هو انا لوحدي مش مبسوطة من فكرة ان الاردن ممكن تقصف داعش؟ ربنا يحمينا
5070,test,jhsc,كلوا الا لطيزك احلي ريتويت,خذوا كل شيء واتركوا لي ما أحب.,كل شي إلا كرامتي. أحلى ريتويت.,كل اشي إلا كرامتي. أحلى ريتويت.,كل حاجة إلا كرامتي. أحلى ريتويت.
5071,dev,jhsc,والله للالعن شرفك عرص,أشعر بغضب شديد منك.,عيب اللي تسويه ومرفوض تماماً. تصرفك مسيء وتجاوز ما ينسكت عنه.,تصرفك مرفوض ومسيء كتير. اللي عم تعمله عيب وما بينقبل أبداً.,اللي بتعمله مرفوض وقلة احترام. تصرفك عيب ومش هنسكت عليه.
5072,train,jhsc,تلحسو طيزي قبل ما يفوت كمان ناس عالمنشن,ابتعدوا عني قبل أن ينضم المزيد إلى النقاش.,كفاية قلة احترام قبل ما يدخل ناس زيادة على المنشن.,خلصونا من قلة الاحترام قبل ما يفوت كمان ناس عالمنشن.,كفاية قلة احترام قبل ما ناس تانية تدخل على المنشن.
5073,train,jhsc,من الساعه لحين اسوي الارم سنوز,منذ ساعة وأنا أؤجل المنبه.,من الصباح وانا كل شوي مؤجل المنبه على سنوز,من الصبح وانا كل شوية مأجل المنبه سنوز,من الصبح وانا كل شوية عاملة للمنبه سنوز
5074,train,jhsc,مقتل قاسم سليماني قي قصف صاروخي امريكي فجر اليوم,مقتل قاسم سليماني في قصف صاروخي أمريكي فجر اليوم.,مقتل قاسم سليماني بقصف صاروخي امريكي فجر اليوم.,مقتل قاسم سليماني بقصف صاروخي امريكي فجر اليوم.,مقتل قاسم سليماني في قصف صاروخي امريكي فجر اليوم.
5075,train,jhsc,سؤال لي سويتي كذا,سؤال: لماذا فعلت ذلك؟,سؤال ليه سويتي كذا؟,سؤال ليش عملتي هيك؟,سؤال ليه عملتي كده؟
5076,train,jhsc,طاش انا واشرف قطيمات,طاش وأنا وأشرف قطيمات.,"طاش انا واشرف قطيمات، ومو ساكتين عن اللي يصير.","طاش انا واشرف قطيمات، ومش رح نسكت عاللي بصير.","طاش انا واشرف قطيمات، ومش هنعدي اللي بيحصل بالساهل."
5077,test,jhsc,وتعادل ميسي بالهداف الله علي البرشا اليوم يوم سقوط مدريد,"وتعادل ميسي في صدارة الهدافين، يا له من يوم رائع لبرشلونة ويوم صعب لريال مدريد.","ميسي تساوى على صدارة الهدافين، الله على برشا اليوم، يوم سقوط مدريد.","ميسي تعادل على صدارة الهدافين، يا سلام على البرشا اليوم، يوم سقوط مدريد.","ميسي اتعادل في صدارة الهدافين، الله على البرسا النهارده، يوم سقوط مدريد."
5078,test,jhsc,شو سنسن بدك توخذيني و طعميني شاورما و كنافه ولا لا بس اهل السلط بنظرب فيهم المتل بالكرم و الجود شو قرري,هل ستأخذينني لتناول الشاورما والكنافة أم لا؟ فأهل السلط معروفون بالكرم والجود.,"هاه سنسن، بتاخذيني ونروح ناكل شاورما وكنافة ولا كيف؟ ترا اهل السلط يضرب فيهم المثل بالكرم والجود. قرري وش بنسوي.","يا سنسن، بدك تاخذيني ونروح ناكل شاورما وكنافة ولا شو؟ اهل السلط يضرب فيهم المثل بالكرم والجود. قرري.","يا سنسن، هتاخديني نروح ناكل شاورما وكنافة ولا ايه؟ اهل السلط مضروب بيهم المثل في الكرم والجود. قرري بقى."
5079,train,jhsc,ليس كل سقوط نهايه فسقوط المطر اجمل بدايه تفاءلو,"ليس كل سقوط نهاية، فسقوط المطر أجمل بداية، تفاءلوا.","مو كل سقوط نهاية، ترى سقوط المطر أحلى بداية. تفاءلوا.","مش كل سقوط نهاية، نزول المطر أحلى بداية. تفاءلوا.","مش كل سقوط نهاية، سقوط المطر أحلى بداية. اتفاءلوا."
5080,train,jhsc,انسان ليت انك عرفته من اسنين وانسان ليت انك ابد ما عرفته وانسان ما يسقط خياله من العين وانسان ما كنك مع الوقت شفته,"هناك أشخاص تتمنى لو عرفتهم منذ سنوات، وآخرون تتمنى لو أنك لم تعرفهم أبداً، وبعض الأشخاص لا تسقط صورتهم من العين.","في ناس تتمنى لو عرفتهم من زمان، وناس تتمنى لو ما عرفتهم أبد، وناس صورتهم ما تطيح من عينك، وناس كأنك مع الوقت ما مرّوا عليك.","في ناس بتتمنى لو عرفتهم من زمان، وناس بتتمنى لو ما عرفتهم بالمرة، وناس صورتهم ما بتنزل من عينك، وناس كإنك مع الوقت ما شفتهم.","في ناس تتمنى لو كنت عرفتهم من بدري، وناس تتمنى لو ما عرفتهم خالص، وناس صورتهم عمرها ما بتنزل من عينك، وناس كأنك مع الوقت ما شفتهم."
5081,train,jhsc,المرصد السوري مقتل مدنيا بغارات لطيران نظام الاسد قرب,المرصد السوري: مقتل مدني بغارات لطيران النظام قرب المنطقة.,"المرصد السوري يقول فيه مقتل مدنيين بقصف طيران نظام الاسد قرب المنطقة. المسؤولية على النظام عن هالقصف ضد ناس ابرياء، واللي يصير جريمة بحق المدنيين.","المرصد السوري بحكي عن مقتل مدنيين بغارات لطيران نظام الاسد قرب المنطقة. النظام مسؤول عن القصف ضد الابرياء، واللي عم بصير جريمة بحق المدنيين.","المرصد السوري بيأكد مقتل مدنيين بقصف طيران نظام الاسد قرب المنطقة. النظام مسؤول عن القصف ضد الابرياء، واللي بيحصل جريمة في حق المدنيين."
5082,train,jhsc,مقتل العقيد اسماعيل علي قتل في معارك ريف ادلب القتيل من قريه خربه المعزه ريف طرطوس,"مقتل العقيد إسماعيل علي في معارك ريف إدلب، وهو من قرية خربة المعزة في ريف طرطوس.",مقتل العقيد اسماعيل علي خلال معارك ريف إدلب. المقتول من قرية خربة المعزة بريف طرطوس.,مقتل العقيد اسماعيل علي بالمعارك بريف إدلب. القتيل من قرية خربة المعزة بريف طرطوس.,مقتل العقيد إسماعيل علي في معارك ريف إدلب. القتيل من قرية خربة المعزة في ريف طرطوس.
5083,train,jhsc,نحن كاردنيين وكل انسان سمع بهذه الجريمه لن يرضي دولتك الا بانزال اقصي عقوبه علي هؤلاء المجرمين وان لا يصار الي انهاء هذه الجريمه بفنجان قهوه وتمر هكذا بحل عشائري,"نحن كأردنيين، وكل من سمع بهذه الجريمة، نطالب بأقصى عقوبة للمسؤولين عنها وألا تنتهي القضية بحل عشائري بسيط.","احنا كأردنيين وكل من سمع بهالجريمة ما بيرضينا من دولتكم إلا إنزال أقصى عقوبة على هذولا المجرمين، وما نبي الموضوع يخلص بفنجان قهوة وتمشي بحل عشائري.","احنا كأردنيين وكل واحد سمع بهالجريمة ما بيرضينا من دولتكم غير إنزال أقصى عقوبة على هالمجرمين، وما بدنا القصة تنتهي بفنجان قهوة وتمشي على حل عشائري.","احنا كأردنيين وأي حد سمع بالجريمة دي مش هيرضينا من دولتكم غير توقيع أقصى عقوبة على المجرمين دول، ومش عايزين الموضوع يخلص بفنجان قهوة ويمشي بحل عشائري."
5084,train,jhsc,باي حال عدت يا عيد عل الامهات في سوريا والعراق وليبيا,بأي حال عدت يا عيد على الأمهات في سوريا والعراق وليبيا؟,بأي حال جيت يا عيد على الامهات في سوريا والعراق وليبيا؟,بأي حال رجعت يا عيد على الامهات بسوريا والعراق وليبيا؟,بأي حال رجعت يا عيد على الامهات في سوريا والعراق وليبيا؟
5085,train,jhsc,الف مره حكيتلك انه السياسه مش الناالسياسه للي معهم كل اشي او الي ما معهم اشي,"ألف مرة قلت لك إن السياسة ليست لنا، بل لمن يملكون النفوذ أو لا يملكون شيئاً ليخسروه.","الف مرة قلت لكم إن السياسة عندنا صارت لعبة للي معهم كل شيء أو للي ما عندهم ولا شيء، أما إحنا العاديين ما لنا مكان.","الف مرة حاكيتكم إنه السياسة صارت مش إلنا، يا للي معهم كل شي ماسكينها يا للي ما معهم إشي، وإحنا بالنص مش محسوبين.","قلتلكم ألف مرة إن السياسة بقت مش لينا، يا للّي معاهم كل حاجة مسيطرين عليها يا للّي ماعندهمش حاجة خالص، وإحنا في النص مش محسوبين."
5086,train,jhsc,يا ضيف ابتعد عن العنصريه هذه جريمه و قتل ارجوك ابتعد منها انت وافكارك المسمومه وتمنا له الخير وتمنا لامه الصبر والسلوان,"يا ضيف، ابتعد عن العنصرية، فهي تؤدي إلى الكراهية والعنف، وتمنَّ الخير للآخرين والصبر لأهلهم.","يا ضيف، العنصرية جريمة وخطأ كبير. ابتعد عنها أنت وأفكارك المؤذية. ادعُ له بالخير، وادعُ لأمه بالصبر والسلوان.","يا ضيف، العنصرية جريمة وخط إكبر. ابعد عنها إنت وأفكارك المؤذية. ادعيله بالخير وادعي لامه بالصبر والسلوان.","يا ضيف، العنصرية جريمة وغلط كبير. ابعد عنها إنت وأفكارك المؤذية. ادعيله بالخير وادعي لأمه بالصبر والسلوان."
5087,train,jhsc,بالحاج مكسد في قهاوي شارع الاستقلال,يبدو أن الحاج يجلس في مقاهي شارع الاستقلال.,بالحاج خسران في قهاوي شارع الاستقلال,بالحاج خسران بقهاوي شارع الاستقلال,بالحاج خسران في قهاوي شارع الاستقلال
5088,train,jhsc,صوت القصف السوري,صوت القصف السوري.,صوت القصف السوري ما زال يدوّي ويكشف فشلهم بحماية الناس ووقف المأساة,صوت القصف السوري بعدها عم يدوّي وهاد لحالو دليل على تقصيرهم بحماية المدنيين ووقف الكارثة,صوت القصف السوري لسه شغال وده لوحده دليل على فشلهم في حماية الناس ووقف المأساة
5089,train,jhsc,لا اخلاق داعشي يلعب الكره بطفل رضيع حتي الموت,لا أخلاق في التعامل مع طفل رضيع بهذه القسوة حتى الموت.,"تصرف لا انساني، واحد يتعامل مع طفل رضيع كأنه لعبة لحد ما فقد حياته. هالشي جريمة وما له أي مبرر.","تصرف مش انساني بالمرة، واحد عم يتعامل مع طفل رضيع كأنه كرة لحد ما فقد حياته. هاد جريمة وما إلها أي مبرر.","تصرف غير إنساني خالص، واحد بيتعامل مع طفل رضيع كأنه كرة لحد ما فقد حياته. ده جرم وما ينفعش يتبرر."
5090,train,jhsc,شكلي انا الي رح اسوي مشكله,شكلي أنا الذي سيتسبب بالمشكلة.,شكلي انا اللي بسوي مشكلة,شكلي انا اللي رح اعمل مشكلة,شكلي انا اللي هعمل مشكلة
5091,train,jhsc,كفو السلطيه ما تقصري والله,"أحسنتم يا أهل السلط، بارك الله فيكم.","كفو يا عيال السلط، ما تقصرون والله","كفو يا اهل السلط، ما بتقصروا والله","كفو يا ولاد السلط، ما بتقصروش والله"
5092,train,jhsc,مسكين راحت النقله عليه,"مسكين، وقع عليه العبء كله.",مسكين راحت الفرصة عليه,مسكين راحت عليه الفرصة,غلبان الفرصة راحت منه
5093,test,jhsc,يا كبر حظك لو عندك ابن او ابنه من برج هم الي بيبقون معك لاخر عمرك اولوياتهم انت وبس,"يا له من حظ كبير، فالأبناء المخلصون يبقون إلى جانب أهلهم ويجعلونهم من أولوياتهم.","يا حظك الكبير لو عندك ولد او بنت من هالبرج، هم اللي يظلون معك لاخر عمرك، اولوياتهم انت وبس","يا حظك لو عندك ابن او بنت من هالبرج، هم اللي بضلوا معك لاخر عمرك، اولوياتهم انت وبس","يا بختك لو عندك ابن او بنت من البرج ده، هم اللي بيكونوا معاك لاخر عمرك، اولوياتهم انت وبس"
5094,train,jhsc,طب والخميس المسكين بنسمع فيه سمع,أما الخميس المسكين فلا نسمع عنه كثيراً.,طيب والخميس المسكين؟ كلنا قاعدين نسمع فيه سمع.,طيب والخميس المسكين؟ صرنا نسمع فيه سمع.,طب والخميس المسكين؟ بقينا نسمع فيه سمع.
5095,train,jhsc,من لما روحت من الدوام وانا حاطط ع قناه الاردن بدي اقتنع وبحاول اقنا حالي انه فيها اشي بينشاف جايبين تعمل سلطه ارحموني,منذ عودتي من العمل وأنا أحاول متابعة قناة الأردن وإقناع نفسي بوجود برامج ممتعة فيها.,"راجع من الدوام وشغلت قناة الأردن أحاول أقنع نفسي فيها شي ينشاف، وبرنامج طبخ يسوون سلطة! يا جماعة ارحمونا.","راجع من الشغل وشابك على قناة الأردن وبحاول أقنع حالي فيها اشي بينشاف، وآخرها جايبين يعملوا سلطة! ارحمونا.","راجع من الشغل وشغلت قناة الأردن وبحاول أقنع نفسي إن فيها حاجة تتشاف، وفي الآخر جايبين يعملوا سلطة! ارحمونا."
5096,test,jhsc,ما اعظم المصور الذي نقل الحدث اذ لولا المصور لتاهت الجريمه في حاراتها واغتصبها المجرمون,"ما أعظم المصور الذي وثق الحدث، فلولاه لضاعت الحقيقة.","عظمة للمصور اللي وثّق الحدث، لولاه كان تضيع الجريمة بين الزوايا ويطمسها المجرمون.","كل الاحترام للمصور اللي نقل الحدث، لو ما هو كان ممكن تضيع الجريمة وتندفن على ايد المجرمين.","تحية للمصور اللي وثّق الحدث، لولاه كانت الجريمة ممكن تضيع ويتستر عليها المجرمين."
5097,train,jhsc,مسوين نفسكم ميتين,تتصرفون وكأنكم غير موجودين.,تسوون نفسكم ما تشوفون ولا تسمعون,عاملين حالكم مش شايفين ولا سامعين,عاملين نفسكم مش شايفين ولا سامعين
5098,train,jhsc,يا ابت اني قد جاءني من العلم ما لم ياتك فاتبعني اهدك صراطا سويا,﴿يا أبتِ إني قد جاءني من العلم ما لم يأتك فاتبعني أهدك صراطاً سوياً﴾.,"يا أبوي ترى عندي علم ما وصلك، خلّك تتبع كلامي وبإذن الله أدلّك على الطريق الصح.","يا أبوي عندي معرفة ما وصلتك، اتبعني وبهدّيك للطريق المظبوط.","يا بابا عندي علم ما وصلّكش، اتبعني وانا هاهديك للطريق الصح."
5099,train,jhsc,نسورا يا سلاح الجو نسورا يا اردنيه,"نسوراً يا سلاح الجو، نسوراً يا أردنية.","يا سلاح الجو يا نسور الأردن، فخرنا وراسنا مرفوع فيكم.","يا سلاح الجو يا نسور الأردن، انتو فخرنا ورافعين راسنا.","يا سلاح الجو يا نسور الأردن، انتو فخرنا ورافعين راسنا."
5100,train,jhsc,ومبارح ما شربهاش ف لا تطلبيلو مره ثانيه,"وبالأمس لم يشربه، فلا تطلبوه منه مرة أخرى.","وامس ما شربها، فلا تطلبون له مره ثانيه","وبارح ما شربهاش، فلا تطلبوله مرة ثانية","وامبارح ما شربهاش، فلا تطلبوله مرة تانية"
5101,train,jhsc,نتعت حالي عشارع الجامعه بسرعه البرق عشان الحق المحل قبل ما يسكر عشان بس يطلع الهارد ديسك متحرك مليمترين,أسرعت إلى شارع الجامعة بسرعة كبيرة لألحق بالمحل قبل أن يغلق.,"قطعت الشارع عند الجامعة بسرعه عشان ألحق المحل قبل ما يقفل، وبالنهاية طلع الهارد ديسك يتحرك مليمترين بس.","قطعت الشارع عند الجامعة بسرعة البرق عشان ألحق المحل قبل ما يسكّر، وآخر شي طلع الهارد ديسك بتحرّك مليمترين بس.","عدّيت الشارع عند الجامعة بسرعة عشان ألحق المحل قبل ما يقفل، وفي الآخر طلع الهارد ديسك بيتحرّك مليمترين بس."
5102,train,jhsc,عاوز انيكك في كسك وطيزك وامصمص في بزازك الحلوه والحس كسك وطيزك,أرغب في علاقة حميمة معك.,"كلامك عن قلة أدب ما ينقال، احترم نفسك وحدود الناس. هذا أسلوب مرفوض ومسيء وما له أي قبول.","هالحكي قلة احترام وما بينقال، خليك محترم واحفظ حدودك. الأسلوب المسيء هاد مرفوض تماماً.","الكلام ده قلة أدب ومش مقبول خالص، اتقي الله واحترم نفسك وحدود الناس. الأسلوب ده مرفوض هنا."
5103,train,jhsc,منتا كلب و بدك قتل,أنت تتصرف بعدوانية وتدعو إلى العنف.,"تصرفك مستفز وخطير، وفعلاً قاعد تهدد الناس بالقتل، وهذا مرفوض تماماً.","تصرفك مستفز وخطير، وعم بتحكي عن قتل وكأنها شغلة عادية، وهذا مرفوض نهائياً.","تصرفك مستفز وخطير، وبتتكلم عن قتل كأنه عادي، وده مرفوض تماماً."
5104,train,jhsc,داعش اعلنت هاتخفض سعر الجواري بالاسواق احتفالا باليوم العالمي للمراه,أعلنت داعش خفض أسعار الجواري في أسواقها في خبر ساخر متداول.,"داعش طلعت تعلن إنها بتنزل أسعار بيع النساء وكأنهم سلعة، وتربطها باليوم العالمي للمرأة! هالشي جريمة ومهانة وما يمثل إلا فكرهم المنحرف.","داعش طالعة تحكي إنها رح تنزل أسعار بيع النساء كأنهم بضاعة، وبتربطها باليوم العالمي للمرأة! هاد فعل مجرم ومهين وبعكس فكرهم المنحرف.","داعش خارجة تعلن إنها هتنزل أسعار بيع الستات كأنهم سلعة، وبتربط ده باليوم العالمي للمرأة! ده جريمة وإهانة وبيعكس فكرهم المنحرف."
