ID,split,source,source_text,gemini_msa_detox,gemini_gulf_detox,gemini_levantine_detox,gemini_egyptian_detox
6012,train,jhsc,بالزبط ابصر عيار كم بس يعني لما يطفر المسكين ببيعهم و بعيش من حقهمبتعرفي ع كل تغريده دعائيه بياخد الف يورو تقريبا,"لا يُعلم حجم هذه الممتلكات بدقة، ولكن عند مواجهة ضائقة مالية، قد يضطر لبيعها والعيش من عائداتها. ويُشار إلى أنه يتقاضى ما يقارب ألف يورو عن كل تغريدة دعائية.","بالضبط، عاد ما ندري وش عيارها بالضبط. بس يعني، إذا ضاقت عليه الظروف، ممكن يبيعها ويستفيد من قيمتها. تدرون عاد، على كل تغريدة ترويجية، يستلم حوالي ألف يورو تقريباً.","بالزبط، الله أعلم شو طبيعة هالتغريدات. بس يعني لما يمر بضائقة مالية، المسكين بيستغل هالتغريدات وبيحقق منها مكاسب شخصية. بتعرفي، على كل تغريدة دعائية بياخد ألف يورو تقريباً.","بالظبط، الواحد بيحوش وبيجمع، وربنا يزيده، ولما يحتاج، بيبيع اللي عنده وبيعيش من فلوسه. ده غير إن حضرتك عارفة، على كل تغريدة دعائية بياخد مبلغ حوالي ألف يورو."
6013,train,jhsc,حقيقه داعش الشيخ حمزه يوسف,الكشف عن حقيقة تنظيم داعش وعلاقتها بخطاب الشيخ حمزة يوسف.,"لما نشوف فكر داعش، ما نقدر ما نربط بعض جوانبه بما يطرحه الشيخ حمزة يوسف.",الشيخ حمزة يوسف وحقيقة داعش.,"يا جماعة، بما إننا بنتكلم عن حقيقة تنظيم داعش، لازم نطرح سؤال مهم: إيه علاقة ده باللي بيتقال أو بيتقدم من الشيخ حمزة يوسف؟"
6014,dev,jhsc,اشرب عر وانساك,سأتجرع المرارة لأنساك.,"أتحمل ما لا يطاق، بس عشان أنساك.","بدي أنساك، وكأنك ما كنت موجود أصلاً.",أنا عايز أنساك وأريح دماغي منك.
6015,train,jhsc,رئيس الوزراء عبد الله النسور داعش اعدمت شهيدنا يوم المولد النبوي,"في عهد رئيس الوزراء عبد الله النسور، أقدم تنظيم داعش على إعدام شهيدنا في يوم المولد النبوي الشريف.","يا معالي رئيس الوزراء عبد الله النسور، ما ننسى إن شهيدنا انعدم على يد داعش بيوم المولد النبوي.","يا دولة رئيس الوزراء عبد الله النسور، داعش أعدمت شهيدنا بيوم المولد النبوي.","يا سيادة رئيس الوزراء عبد الله النسور، إزاي نقبل إن شهيدنا يتعدم على إيد داعش في يوم المولد النبوي الشريف؟"
6016,test,jhsc,الورقه التي تسقط من الشجره لا يمكن ان تعود ولكن ينمو الاف الاوراق غيره كذاك بعض الاشخاص في حياتنا,"لا يمكن للورقة التي تسقط من الشجرة أن تعود، ولكن تنمو آلاف الأوراق غيرها. وكذلك بعض الأشخاص في حياتنا.","الورقة اللي تطيح من الشجرة، ما تقدر ترجع. بس يطلع بدالها آلاف الأوراق. ونفس الشي بعض الناس في حياتنا.","الورقة اللي بتوقع من الشجرة، مستحيل ترجع. بس بيطلع آلاف الأوراق غيرها. وهيك بعض الناس بحياتنا.","الورقة اللي بتقع من الشجرة مستحيل ترجع مكانها تاني، بس بيطلع مكانها آلاف الورقات غيرها. بالظبط كده فيه ناس في حياتنا."
6017,train,jhsc,داعش واخواتها داعش حالش حاعش لبنانالحدود العراقيه السعوديه,تنظيم داعش والجماعات المرتبطة به تتواجد بأشكال متعددة في لبنان وعلى الحدود العراقية السعودية.,"الوضع اللي نشوفه في لبنان، للأسف، فيه ممارسات وتوجهات تثير قلقنا، وتذكرنا بخطورة التنظيمات المتطرفة. وهذا الشي له انعكاسات مباشرة على أمن المنطقة، وبالذات على الحدود العراقية السعودية.","للأسف، داعش والتنظيمات اللي بتشبهها لساها بتشكل خطر كبير، خصوصاً في لبنان وعلى الحدود العراقية السعودية.","تنظيم داعش والجماعات المتطرفة اللي على شاكلته، بيستهدفوا لبنان والحدود العراقية السعودية."
6018,test,jhsc,الاسعار غاليه,الأسعار مرتفعة.,الأسعار صايرة غالية.,الأسعار نار.,كل حاجة بقت نار.
6019,train,jhsc,داعش تطرح شبكه اتصالات جديده داعشكم بلا حدود علي المسلمين وقروش عباقي الديانات,"تعلن داعش عن إطلاق شبكة اتصالات جديدة. إن تنظيمكم هذا يتجاوز الحدود، مستهدفًا المسلمين ومستوليًا على أموال أتباع الديانات الأخرى.","داعش تطلق شبكة اتصالات جديدة، مسمينها 'بلا حدود'، لكن الواضح إن هالحدود المفتوحة موجهة للمسلمين، بينما الهدف من أتباع الديانات الأخرى هو الاستغلال المادي.","سمعنا إنه داعش عم تطلق شبكة اتصالات جديدة. بس داعشكم هاي ما الها حدود بالتعامل مع المسلمين، وبتاخد مصاري من باقي الديانات.","يا سلام، داعش بتطرح شبكة اتصالات جديدة! شبكة بلا حدود، وكأنها بتشتغل لحسابكم، بتستهدف المسلمين وبتستنزف أموال أصحاب الديانات التانية."
6020,dev,jhsc,امين يارب الله يرفع الظلم عن اهل سوريا و العراق و اليمن و ليبيا الله يوحد صفوف العرب,"آمين يا رب، نسأل الله أن يرفع الظلم عن أهل سوريا والعراق واليمن وليبيا، وأن يوحد صفوف العرب.","آمين يا رب، الله يرفع الظلم عن أهلنا في سوريا والعراق واليمن وليبيا. ويا رب توحد صفوف العرب.","امين يارب، الله يرفع الظلم عن أهل سوريا والعراق واليمن وليبيا، والله يوحد صفوف العرب.","آمين يارب، يارب ارفع الظلم عن أهل سوريا والعراق واليمن وليبيا، ويارب وحد صفوف العرب."
6021,train,jhsc,معن لقبه ايميل فكري سلطان لقبه منتوس طبعا انا ماخذ راحتي لانو ما حدي منهم علي الي اكاونت علي توييتر,"يُعرف معن بلقب ""إيميل فكري""، ويُعرف سلطان بلقب ""منتوس"". أتناول هذا الأمر بصراحة في ظل غيابهم عن منصة تويتر.","معن، اللي بعض الناس يسمونه 'ايميل فكري'، وسلطان، اللي معروف بـ 'منتوس'. أنا أقول هالكلام وأنا مرتاح، لأنهم ما عندهم حسابات هنا على تويتر.","معن لقبه إيميل فكري، وسلطان لقبه منتوس. أنا عم بحكي براحتي هون، لأنه ما حدا منهم عنده حساب على تويتر عشان يشوف هالحكي.","معن لقبه إيميل، وفكري سلطان لقبه منتوس. طبعًا أنا واخد راحتي عشان مفيش حد منهم عنده أكاونت على تويتر."
6022,train,jhsc,اذا هو هدف وراءه مخطط سياسي وتجاري بحت,إن هذا هدفٌ يكمن وراءه مخططٌ سياسيٌ وتجاريٌ بحت.,"الواضح إن هذا هدف، ووراه مخطط سياسي وتجاري بحت.",إذا هو هدف وراه مخطط سياسي وتجاري بحت.,يبقى ده هدف وراه مخطط سياسي وتجاري بحت.
6023,train,jhsc,شتاءالاردن شارع بغداد اربد,"شتاء الأردن، شارع بغداد، إربد.","أجواء الشتاء في الأردن، وتحديداً في شارع بغداد بمدينة إربد.","شتاء الأردن، شارع بغداد، إربد.","شتا الأردن، شارع بغداد، إربد."
6024,train,jhsc,دبي العابر هو الي قامو يسمو شارع الامارات,"دبي، التي تُوصف بطابعها المتسم بالعبور، هي من أطلقت تسمية شارع الإمارات.","دبي اللي معروفة بكثرة اللي يمرون عليها، هي اللي سموا على اسمها شارع الإمارات.","دبي اللي طابعها عابر، هي اللي سمّوا الشارع باسمها.",دبي اللي عليها كلام كتير هي اللي قاموا يسموا شارع الإمارات.
6025,test,jhsc,انت اردني شو خصك بفلسطين وسواليفهم يا خ هاي ارضك يا تيس لا والاحلي اكيد خوالك فلسطينيه اكثر سؤال بتعرض اله,"يُطرح عليّ سؤال متكرر: أنت أردني، فما صلتك بفلسطين وشؤونها؟ ويُتبع ذلك بتذكير بأن هذه أرضك. ولا يخلو الأمر من افتراض بأن خوالك فلسطينيون بالتأكيد. هذا هو السؤال الذي أواجهه بكثرة.","أنت أردني، وش دخلك بفلسطين وسوالفهم؟ ركز على ديرتك! والأحلى من كذا، أكيد خوالك فلسطينيين. هذا أكثر سؤال أواجهه.","أنت أردني، شو دخلك بفلسطين وسواليفهم يا أخي؟ هاي أرضك. والأحلى من هيك، أكيد خوالك فلسطينية. هاد أكتر سؤال بتعرضله.","أكتر سؤال بتسأله هو: إنت أردني، إيه اللي يخصك في فلسطين ومواضيعهم؟ يا أخي، دي بلدك. ولا يمكن عشان أخوالك فلسطينيين؟"
6026,train,jhsc,اشرب واسكت و ارضي يا ئلبي بمر الكاس,"تجرع مرارة الكأس بصمت، واقبلها أيها القلب.","مجبورين نتحمل ونسكت، ونتقبل يا قلبي مرارة الكاس.",اشرب واصبر و ارضى يا قلبي بمر الكاس.,"يا قلبي، مالناش غير إننا نرضى بالمر ونستحمل ونسكت."
6027,train,jhsc,الناس فش وراها اشي عشان الغبره فبلشوا برؤيا المسكينه,"نظرًا لفراغ الناس في ظل الأجواء المتربة، فقد شرعوا في تناول رؤيا المسكينة.","الناس ما عندها سالفة، وبسبب الغبار مسكوا رؤيا المسكينة.","شكله الناس فاضية أشغال بسبب الغبرة، فصاروا يتصيدوا لرؤيا المسكينة.","الناس من كتر الفراغ اللي عندهم، مسكوا في رؤيا المسكينة."
6028,train,jhsc,مرسيليا يسيطر كسيكو فرنسي مثير,مرسيليا يسيطر على الكلاسيكو الفرنسي المثير.,مرسيليا مسيطر على الكلاسيكو الفرنسي المثير.,مرسيليا مسيطرين على الكلاسيكو الفرنسي المثير.,مرسيليا مسيطرة على الماتش الفرنسي اللي كان ولعة ومقلوب.
6029,train,jhsc,الاب ممكن يكون المثل السيء لاولاده,قد يكون الأب قدوة سيئة لأبنائه.,الأبو ممكن يصير قدوة سيئة لعياله.,الأب ممكن يطلع قدوة مش منيحة لأولاده.,الأب ممكن يبقى المثل الوحش لعياله.
6030,train,jhsc,يخي يوم السبت خلق للنوم و حطولنا فيه محاضره من طيز الصبح,"يُعدّ يوم السبت مخصصًا للراحة والنوم، ومع ذلك، فُرضت علينا محاضرة في ساعات الصباح الأولى.","يا أخي، يوم السبت خُلق للنوم، وحطولنا فيه محاضرة من صباح الله خير.","يخي يوم السبت خلق للنوم، وحطولنا فيه محاضرة من غبشة الصبح.","يخي، يوم السبت ده اتخلق عشان النوم، وهما حطولنا فيه محاضرة من صباحية ربنا."
6031,train,jhsc,تسويلي الطاحونه,تُسبّبون لي عناءً.,لا تحاول تتلاعب فيني وتظن إني غافل.,عم تعملي لي غلبة.,بتعملي حوار.
6032,train,jhsc,لا سلطان الا لله الواحد القهار,لا سلطان إلا لله الواحد القهار.,"ما فيه سلطان حقيقي إلا لله سبحانه، هو الواحد القهار اللي بيده كل شيء.",إيماننا الراسخ إنه ما في سلطة تعلو على سلطة ربنا الواحد القهار.,لا سلطان إلا لله الواحد القهار.
6033,train,jhsc,نفسي شارع المدينه ينحرق,أتمنى لو أن شارع المدينة يختفي من الوجود.,"يا ليت شارع المدينة يتغير جذرياً لدرجة ما نعرفه، من كثر المشاكل اللي فيه.",نفسي شارع المدينة يلاقوا حل لمشاكله اللي بتجنن.,نفسي شارع المدينة ده يتصلح ويتظبط من أول وجديد.
6034,train,jhsc,للاسف الشديد ان بعض الطلبه المغتربين يستغلون بعد اهاليهم عنهم,يؤسفنا بالغ الأسف أن بعض الطلبة المغتربين يستغلون بُعد ذويهم عنهم.,"للأسف الشديد، بعض الطلاب اللي يدرسون برا يستغلون إن أهلهم بعيدين عنهم.","للأسف الشديد، بعض الطلاب المغتربين بيستغلوا بعد أهلهم عنهم.","للأسف الشديد، بعض الطلبة المغتربين بيستغلوا بعد أهلهم عنهم."
6035,train,jhsc,مين بدها امص شفرات كسها وادخلو في طيزها,"من ترغب في تجربة مداعبة الشفاه الفرجية فمويًا، وفي إيلاج شرجي؟",مين حابة أقدم لها تجربة حسية فريدة من نوعها؟,مين حابب أكون معه بعلاقة حميمية وممتعة؟,مين اللي نفسها في تجربة مختلفة وجريئة؟
6036,train,jhsc,يسويلك فولو ثم ينفض لك ياشيخ انت اللي تفتح النفس في تويتر,يتابعك ثم يتجاهل وجودك. إنك حقًا من الشخصيات التي تبعث على الارتياح في تويتر.,يسويلك فولو ثم يسحب المتابعة. هذا الأسلوب في التعامل مع المتابعة ما يخلي تجربة تويتر مريحة.,"بيعمل فولو، وبعدين بينفض لك. والله أسلوبك على تويتر غريب شوي.",يعملك فولو وبعدين ميعبركش. يا شيخ أنت اللي تفتح النفس في تويتر.
6037,train,jhsc,اعرف واحد يشرب من سنه بشكل يومي كل من يشوفه يقوله يافلان ماتكبر عمره بالخمسين تشوف عافيته وشكله بالثلاثين الدكتور ماعنده سالفه,"أعرف شخصًا يواظب على الشرب يوميًا منذ عام. كل من يراه يلاحظ أنه لم يتقدم في العمر، فعلى الرغم من بلوغه الخمسين، تبدو صحته ومظهره كمن هو في الثلاثين. تُشير هذه الحالة إلى أن التوصيات الطبية العامة قد لا تنطبق على جميع الأفراد.","أعرف لي واحد يشرب يومياً له سنة، وكل من شافه يقوله: ما شاء الله، ما كأنك تكبر! عمره بالخمسين، وتشوف عافيته وشكله كأنه بثلاثينات عمره. الظاهر الدكتور ما عنده سالفة.","بعرف واحد بشرب بشكل يومي صارله سنة. كل مين بشوفه بقوله ""يا فلان، ما كأنك بتكبر!"" عمره بالخمسينات، بس بتشوف صحته وشكله كأنه بالثلاثينات. بصراحة، الواحد بصير يشك بكلام الدكتور بهيك مواضيع.","أعرف واحد بيشرب بقاله سنة كل يوم. كل اللي يشوفه يقوله إنت ما كبرتش خالص. هو عنده خمسين سنة، بس تشوف صحته وشكله تقول عنده تلاتين. الواحد لما بيشوف حالات زي دي، بيحس إن الكلام اللي بنسمعه عن الصحة ممكن يكون محتاج إعادة نظر."
6038,train,jhsc,والجوع والقهر والالم اللهم انزل عليهم السكينه وبدل حالهم لاحسن حال انك علي كل شئ قدير,"والجوع والقهر والألم. اللهم أنزل عليهم السكينة، وبدل حالهم لأحسن حال، إنك على كل شيء قدير.","والجوع والقهر والألم... يا رب، أنزل عليهم السكينة وبدل حالهم لأحسن حال، إنك على كل شيء قدير.","والجوع والقهر والألم، يا رب أنزل عليهم السكينة وبدل حالهم لأحسن حال، إنك على كل شي قدير.","والجوع والقهر والوجع، يا رب أنزل عليهم السكينة وغير حالهم لأحسن حال، إنك على كل شيء قدير."
6039,train,jhsc,يعني المجوز تبعكم اللي كلمات و الحن و سلطنه,"إذًا، هل تقصدون أن النمط الموسيقي الخاص بكم يتميز بكلمات وألحان، وما يصاحبها من صخب؟","يعني ارتباطكم هذا، هو اللي كله حكي وألحان وسلطنة؟","يعني أسلوبكم، اللي كله حكي ونبرة معينة، وفيه هيك سلطنة.","يعني الشخص اللي محسوب عليكم، هو ده اللي بيعمل الكلمات والألحان والسلطنة دي كلها؟"
6040,train,jhsc,لا تدعي التفكير يسيطر علي حياتك فالياس يقتل صاحبه,"لا تدع التفكير يسيطر على حياتك، فاليأس يقتل صاحبه.","لا تخلي التفكير ياخذ كل حيز بحياتك، لأن اليأس يهلك راعيه.","لا تخلي التفكير يسيطر على حياتك، لأنه اليأس بيقتل صاحبه.","ماتخليش التفكير يسيطر على حياتك، اليأس بيقتل صاحبه."
6041,test,jhsc,القوات السعوديه تسيطر علي اجواء اليمن يا لبيه,"تسيطر القوات السعودية على أجواء اليمن، وهو تطورٌ محل ترحيب.","قواتنا السعودية مسيطرة على أجواء اليمن، يا لبيه!","القوات السعودية مسيطرة على أجواء اليمن، يا لبيه!","القوات السعودية مسيطرة على أجواء اليمن، يا سلام!"
6042,train,jhsc,وين داعش عنك يا مفلتينين,أين الرادع عنكم يا من تتجاوزون الحدود؟,"يا جماعة، تصرفاتكم هذي صراحة تجاوزت كل الحدود.","تصرفاتكم هاي اللي بلا أي ضابط أو حسيب، عم بتخرب كل اشي وعم بتعمل فوضى عارمة بالبلد.","يا اللي تصرفاتكم خارجة عن أي حدود، هو مفيش حد هيقف قدام اللي بتعملوه ده ويحاسب عليه؟"
6043,train,jhsc,ماذا سنفعل الليله ما نفعله كل ليليه سنحاول السيطره علي العالم,ماذا سنفعل الليلة؟ ما نفعله كل ليلة: سنحاول تحقيق رؤيتنا العالمية.,"وش بنسوي الليلة؟ نفس اللي نسويه كل ليلة، بنحاول نسيطر على العالم.","شو رح نعمل الليلة؟ نفس اللي بنعمله كل ليلة، رح نحاول نسيطر على العالم.","هنعمل إيه الليلة؟ اللي بنعمله كل ليلة، هنحاول نسيطر على العالم."
6044,train,jhsc,تشرب شاني وانت مشتهي سفن,"تستهلك ما هو متاح، بينما تتوق إلى ما هو مرغوب.","تشرب الشاني، وخاطرك في السفن أب.",تشرب شاني وأنت مشتهي سفن.,"أنت بتشرب الشاني، مع إنك نفسك في السفن."
6045,train,jhsc,جو مناسب جدا للانتحار,جو مناسب جدا لليأس المطلق.,الجو هذا يخلي الواحد وده يترك الدنيا وما فيها.,الجو بخلي الواحد يزهق روحه.,الجو ده يخلي الواحد يزهق من الدنيا خالص.
6046,dev,jhsc,الشرف لو كان يعرفه,لو كان يدرك معنى الشرف.,يا ليت لو كان يدرك قيمة الشرف.,يا ريت لو بيعرف شو يعني شرف.,لو كان عنده أي فكرة عن الأصول.
6047,train,jhsc,داعش بحركتها هاي تحاول استفزار الاردن بس الله كريم ونصحي الصبح نلاقي راجع سالم غانم,"إن تنظيم داعش، من خلال تحركه هذا، يحاول استفزاز الأردن. ولكننا نثق برحمة الله، ونأمل أن نستيقظ صباحًا لنجد العائد سالمًا غانمًا.","داعش بحركتها هذي تحاول تستفز الأردن، بس الله كريم وإن شاء الله نصحى الصبح نلقاه راجع سالم غانم.","داعش بهاي الحركة بتحاول تستفز الأردن، بس الله كريم ونصحي الصبح نلاقي راجع سالم غانم.","التنظيمات الإرهابية دي بحركتها بتحاول تستفز الأردن، بس ربنا كبير وإن شاء الله نصحى الصبح نلاقيه رجع بالسلامة."
6048,test,jhsc,مهي روحها ما بتحب العهر تاعهن والمياصه,إنها بطبيعتها ترفض الممارسات التي تُعد انحرافًا أخلاقيًا والسلوكيات المصطنعة.,حتى طبيعتها ما تتقبل قلة حياهم وتميعهم.,مهي روحها ما بتقبل التصرفات اللي بتخالف الأصول والمياصة.,مهي روحها ما بتقبلش أسلوبهم اللي فيه قلة حياء ومياصة.
6049,dev,jhsc,حني في السياسه,التساهل في المواقف السياسية.,صرنا نتكلم في السياسة.,"بالسياسة، مرات بنحس إننا عم ننجر لأمور ما إلنا فيها قرار.","التعامل مع الشأن السياسي بيتطلب رؤية واقعية وحاسمة، مش مجرد عواطف أو مثالية."
6050,train,jhsc,شو بتسوي بالعطله شوفير فرشه,ماذا تفعل في العطلة؟ هل تقتصر أنشطتك على المكوث في الفراش؟,وش بتسوي بالإجازة؟ ناوي تقضيها كلها نوم وراحة؟,شو بتسوي بالعطلة؟ يا ترى شو طبيعة النشاطات اللي بتخجل تحكي عنها؟,بتعمل إيه في الإجازة؟ ناوي تقضيها كلها على السرير؟
6051,train,jhsc,حاليا الكل بروح يشرب مي دقاره بمين ما بعرف ازمه عالكولرات,"حالياً، يشهد استهلاك الماء إقبالاً مبالغاً فيه، وكأنما بدافع تحدٍ غير مفهوم، مما أدى إلى أزمة عند مبردات المياه.","حالياً الكل رايح يشرب مويه من الكولرات، وكأن الموضوع فيه نوع من التحدي أو المبالغة، ما أدري وش الهدف بالضبط، بس الزحمة اللي صايرة عليها صارت مشكلة.","الكل هالفترة عم يشرب مي، مش عارف ليش هالطلب الزايد بس الكولرات عليها أزمة.","حالياً الكل بيروح يشرب مياه، بس بطريقة مبالغ فيها شوية، ومش عارفة إيه الدافع ورا كده بصراحة. ده عامل أزمة كبيرة على الكولرات."
6052,train,jhsc,ممكن نبطل حكي بالسياسه و نحكي عن الحب مين اكتر سياسي بتحبوه,لعلنا نبتعد قليلًا عن الحديث في الشأن السياسي ونتناول موضوع الحب. فمن هو السياسي الذي يحظى بأوفر نصيب من مودتكم؟,"يا جماعة، وش رايكم نترك السياسة على جنب شوي؟ خلونا نسولف عن أشياء أحلى، عن الحب مثلاً. بس بما إننا جبنا طاري الحب، مين أكثر سياسي تحبونه؟",ممكن نبطل حكي بالسياسة ونحكي عن الحب؟ مين أكتر سياسي بتحبوه؟,ممكن نبطل كلام في السياسة ونتكلم عن الحب؟ مين أكتر سياسي بتحبوه؟
6053,train,jhsc,الشباب مسطلين من الدراسه شارع البترا,الشباب يعانون من الإرهاق الدراسي المفرط في شارع البترا.,الشباب مجهدين حيل من الدراسة في شارع البترا.,الشباب هلكانين من الدراسة بشارع البترا.,الشباب مفرهدين من الدراسة في شارع البترا.
6054,test,jhsc,ه انتي تعي زوري الاردن و شوفي لبنان و اتطلعي ب سوريا و شوفي جروح فلسطين و بعدها ارجعي لبلدك و تهني فيها,"زوري الأردن، وشاهدي لبنان، وتأملي الأوضاع في سوريا، وانظري إلى جراح فلسطين، ثم عودي إلى وطنكِ وانعمي بالاستقرار فيه.","يا ليتك تزورين الأردن وتشوفين لبنان وتطلعين على وضع سوريا وتشوفين جروح فلسطين، وبعدها ترجعين لبلدك وتتهنين فيها.","يا ريت تيجي تزوري الأردن، وتشوفي لبنان، وتطلعي على سوريا، وتشوفي جروح فلسطين، وبعدها ارجعي لبلدك واستمتعي بالاستقرار والراحة اللي فيها.","ياريت تيجي تشوفي الأردن، وتطلعي على لبنان، وتشوفي الوضع في سوريا، وتلمسي جروح فلسطين، وبعدها ترجعي لبلدك وتتهني بيها."
6055,train,jhsc,حسبي الله ونعم الوكيل علي هيك امه نجسه,حسبي الله ونعم الوكيل على مثل هذه الأمة الفاسدة.,حسبي الله ونعم الوكيل على هالأمة اللي ما فيها خير.,حسبي الله ونعم الوكيل على هيك أمة فاسدة.,حسبي الله ونعم الوكيل على الأمة اللي مفيش فيها خير.
6056,train,jhsc,الله يرحمها فعلا اصبح صوت الحق جريمه تعاقب بالموت,"الله يرحمها، فعلاً أصبح صوت الحق جريمة تُعاقب بالموت.","الله يرحمها. فعلاً، صار صوت الحق يكلف الواحد حياته.","الله يرحمها، فعلاً صار صوت الحق جريمة بتتعاقب بالموت.","الله يرحمها. بجد، صوت الحق ده بقى جريمة عقوبتها الموت."
6057,train,jhsc,في سوريا يكتفي المرا بطوله ان يروي لاحفاذه كيفيه بقائه علي قيد الحياه,"في سوريا، يكتفي المرء بأن تكون بطولته في رواية كيفية بقائه على قيد الحياة لأحفاده.","في سوريا، يكفي الواحد فخر وبطولة إنه يقدر يحكي لأحفاده كيف قدر يصمد ويبقى حي.","بسوريا، الزلمة بيكفيه بطولته إنه يحكي لأحفاده كيف قدر يضل عايش.","في سوريا، يكفيه كبطولة إنه يحكي لأحفاده إزاي قدر يفضل عايش."
6058,train,jhsc,هاي خوف الله طلاسم,"إن هذا الكلام يفتقر إلى أي وضوح، ويبدو كأنه رموز مبهمة.","الكلام المطروح هنا يبدو غير واضح أبدًا، وكأنه رموز يصعب فك شفرتها.","والله يا جماعة، هذا الأمر كثير محيّر وغير مفهوم بالمرة.","هاي، بصراحة، الكلام ده كله تحس إنه طلاسم."
6059,train,jhsc,توقيت الافراج عن بعد اعدام للشهيد تثير التساؤل هل لعب المقدسي دورا في التفاوض مع داعش او اجلاء مصيره,إن توقيت الإفراج الذي تلا إعدام الشهيد يثير تساؤلات حول ما إذا كان المقدسي قد اضطلع بدور في التفاوض مع تنظيم داعش أو في الكشف عن مصيره.,توقيت الإعلان عن مصير الشهيد بعد إعدامه يخلي الواحد يتساءل: هل المقدسي كان له دور في التفاوض مع داعش أو في توضيح مصيره؟,"توقيت الكشف عن مصير الشهيد بعد إعدامه، بخلي الواحد يسأل: هل المقدسي كان إله دور بالمفاوضات مع داعش، أو بتوضيح مصيره؟","توقيت الإعلان عن مصير الشهيد بعد إعدامه بيثير تساؤلات كتير، هل المقدسي كان له دور في التفاوض مع داعش أو في توضيح مصيره؟"
6060,train,jhsc,ما تخليهم يلاحظو ان سران خلص انت ما تهل هم,"لا تدعهم يلاحظون أن أمرنا قد انكشف، ولا تحمل هماً.","قاعد تحاول ما تخليهم يلاحظون إن السِران خلص، مع إنك ما يهمك الموضوع أبد.","ما تخليهم يلاحظوا إنه السر خلص، وإنت ما بيهمك.","خليهم يلاحظوا إن سرهم انكشف، وإنت متتعبش نفسك."
6061,train,jhsc,طب نفسا اعشق خيرا اصبر صبرا جميلا ادفي كويس اشرب عدس بالجليد اركض علي المسجد عشان تلحق جمع التقديم,"لتطب نفسك، ولتعشق الخير، ولتصبر صبرًا جميلًا. تدفأ جيدًا، وتناول حساء العدس المثلج، واسرع إلى المسجد لإدراك صلاة الجمع بالتقديم.","طب نفساً، اعشق خيراً، واصبر صبراً جميلاً. تدفَّ زين، واشرب عدس بالثلج، واركض للمسجد عشان تلحق جمع التقديم.","خلي روحك حلوة، حب الخير، واصبر صبر جميل. تدفى منيح، واشرب عدس بالثلج. اركض عالجامع عشان تلحق صلاة التقديم.","يا سيدي، خليك كده إيجابي، حب الخير، واصبر صبر جميل. دفّي نفسك كويس، واشرب عدس بالتلج. وبعدين اجري على الجامع عشان تلحق صلاة جمع التقديم."
6062,test,jhsc,صوت اذان الفجر ينساب حانيا عذبا ليملا الفضاء سكينه وانس لايزعج الصمت ابدا بل يمتزج معه ليوقظ القلوب الصادقه,"ينساب صوت أذان الفجر حانيًا عذبًا ليملأ الفضاء سكينة وأنسًا، لا يزعج الصمت أبدًا بل يمتزج معه ليوقظ القلوب الصادقة.","صوت أذان الفجر، يا حلاته وهو ينساب بهدوء وعذوبة. يعبي الجو سكينة وراحة. أبد ما يزعج الصمت، بالعكس يذوب معه ويصحّي القلوب الصادقة.","صوت أذان الفجر بينساب بلطف وعذوبة، بملي الجو سكينة وطمأنينة. ما بزعج الصمت أبداً، بالعكس، بيندمج معه ليصحي القلوب الصادقة.","صوت أذان الفجر بينساب حاني وعذب، عشان يملى الفضا سكينة وأنس. مبيزعجش الصمت أبداً، بالعكس، بيمتزج معاه عشان يصحي القلوب الصادقة."
6063,train,jhsc,فيديو سقوط طالب في حفل تخريج دفعه ضباط في الكويت,فيديو سقوط طالب في حفل تخريج دفعة ضباط في الكويت.,فيديو متداول يوثق لحظة سقوط طالب في حفل تخريج دفعة ضباط بالكويت. عسى الله يقومه بالسلامة.,فيديو سقوط طالب بحفل تخريج دفعة ضباط بالكويت.,فيديو لطالب وقع في حفلة تخرج دفعة ظباط في الكويت.
6064,test,jhsc,يا حبيبي يا رسول الله اللهم صل وسلم وبارك علي اشرف خلقك محمد عليه الصلاه والسلام,"يا حبيبي يا رسول الله، اللهم صل وسلم وبارك على أشرف خلقك محمد عليه الصلاة والسلام.","يا حبيبي يا رسول الله، اللهم صل وسلم وبارك على أشرف خلقك محمد عليه الصلاة والسلام.","يا حبيبي يا رسول الله، اللهم صل وسلم وبارك على أشرف خلقك محمد عليه الصلاة والسلام.","يا حبيبي يا رسول الله، اللهم صل وسلم وبارك على أشرف خلقك سيدنا محمد عليه الصلاة والسلام."
6065,train,jhsc,الامير علي والاتحاد مش لازم يسكتو للي صار مع هايل مش طبيعي بطوله علي مستوي قاري يكون التعامل فيها سيء لهل درجه وتضر اللاعب,نطالب سمو الأمير علي والاتحاد بالتحرك الفوري حيال ما تعرض له اللاعب هايل. فمن غير المقبول أن تشهد بطولة على مستوى قاري هذا المستوى من سوء التعامل الذي يلحق الضرر باللاعب.,"نتمنى من سمو الأمير علي والاتحاد إنهم ما يسكتون على اللي صار مع اللاعب هايل. صراحة، مو معقول بطولة على مستوى قاري يكون التعامل فيها بهالدرجة من السوء ويضر اللاعب.","سمو الأمير علي والاتحاد الأردني، ما بيصير يسكتوا على اللي صار مع هايل. مش طبيعي بطولة على مستوى قاري يكون التعامل فيها سيء لهالدرجة ويضر اللاعب.","المفروض الأمير علي والاتحاد ما يسكتوش على اللي حصل مع هايل. بصراحة، مش طبيعي إن بطولة على مستوى قاري يكون التعامل فيها سيء بالشكل ده ويضر اللاعب."
